Lp.,Oddział NFZ,Krótka nazwa Oddziału NFZ,Świadczeniodawca - Nazwa,Świadczeniodawca - Miejscowość,Świadczeniodawca - Adres,Świadczeniodawca - Telefon,Świadczeniodawca - adres mailowy
440,15,Wielkopolski  OW NFZ,GINEKOLOGICZNO-POŁOŻNICZY SZPITAL KLINICZNY UNIWERSYTETU MEDYCZNEGO IM. KAROLA MARCINKOWSKIEGO W POZNANIU,POZNAŃ-JEŻYCE,POLNA 33,(061)84-19-273,office@mail.gpsk.am.poznan.pl                                   
441,15,Wielkopolski  OW NFZ,ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ W CZARNKOWIE,CZARNKÓW,KOŚCIUSZKI 96,(067)35-28-170,sekretariat@zzozczarnkow.x.pl                                   
442,15,Wielkopolski  OW NFZ,SZPITAL POWIATOWY IM. JANA PAWŁA II W TRZCIANCE,TRZCIANKA,GEN. WŁADYSŁAWA SIKORSKIEGO 9,67 35-23-100,kancelaria@szpital-trzcianka.pl                                 
443,15,Wielkopolski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W OBORNIKACH,OBORNIKI,SZPITALNA 2,(061)29-73-600,szpital@szpital.oborniki.info
444,15,Wielkopolski  OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ,TUREK,PODUCHOWNE 1,063-280-56-00,sekretariat@szpital.turek.pl                                    
445,15,Wielkopolski  OW NFZ,SZPITAL POWIATOWY IM. ALFREDA SOKOŁOWSKIEGO W ZŁOTOWIE,ZŁOTÓW,SZPITALNA 28,(67)26-32-233,szpzlot@pi.onet.pl
446,15,Wielkopolski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W SŁUPCY,SŁUPCA,TRAUGUTTA 7,063 275 23 00,biuro@szpital.slupca.pl                                         
447,15,Wielkopolski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ,GRODZISK WIELKOPOLSKI,MOSSEGO 17,(061)44-45-523,szpital@spzoz-grodzisk.pl
448,15,Wielkopolski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ IMIENIA DOKTORA KAZIMIERZA HOŁOGI,NOWY TOMYŚL,POZNAŃSKA 30,0614427300,spzoz18@post.pl                                                 
449,15,Wielkopolski  OW NFZ,OSTRZESZOWSKIE CENTRUM ZDROWIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,OSTRZESZÓW,ALEJA WOLNOŚCI 4,(0 62) 50 32 236,sekretariat@szpital.ostrzeszow.pl                               
450,15,Wielkopolski  OW NFZ,SZPITAL POMNIK CHRZTU POLSKI,GNIEZNO,ŚW.JANA 9,61 4264461; 61 2228300,poczta@zoz.gniezno.pl                                           
451,15,Wielkopolski  OW NFZ,WIELOSPECJALISTYCZNY SZPITAL MIEJSKI IM.JÓZEFA STRUSIA Z ZAKŁADEM OPIEKUŃCZO-LECZNICZYM. SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ Z SIEDZIBĄ W POZNANIU PRZY UL. SZWAJCARSKIEJ 3,POZNAŃ-NOWE MIASTO,SZWAJCARSKA 3,061 8739 000,dyrekcja@szpital-strusia.poznan.pl                              
452,15,Wielkopolski  OW NFZ,ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ OSTRÓW WIELKOPOLSKI,OSTRÓW WIELKOPOLSKI,LIMANOWSKIEGO 20/22,(0-62) 595-11-11,szpital@szpital.osw.pl                                          
453,15,Wielkopolski  OW NFZ,SZPITAL SPECJALISTYCZNY W PILE IM. STANISŁAWA STASZICA,PIŁA,RYDYGIERA 1,067 2106204,wszpila@pi.onet.pl                                              
454,15,Wielkopolski  OW NFZ,WOJEWÓDZKI SZPITAL ZESPOLONY IM. DR ROMANA OSTRZYCKIEGO W KONINIE,KONIN,SZPITALNA 45,63 24-04-000,szpital@szpital-konin.pl
455,15,Wielkopolski  OW NFZ,WIELKOPOLSKI OŚRODEK REUMATOLOGICZNY SAMODZIELNY PUBLICZNY SPECJALISTYCZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W ŚREMIE,ŚREM,MICKIEWICZA 95,"(61)28-36-273, (61)28-36-289",por@reumatologia.srem.net
456,15,Wielkopolski  OW NFZ,SZPITAL WOJEWÓDZKI W POZNANIU,POZNAŃ-JEŻYCE,JURASZÓW 7-19,61 82-12-200,szpital@lutycka.pl                                              
457,15,Wielkopolski  OW NFZ,"WOJEWÓDZKI SZPITAL DLA NERWOWO I PSYCHICZNIE CHORYCH ""DZIEKANKA"" IM. ALEKSANDRA PIOTROWSKIEGO W GNIEŹNIE",GNIEZNO,POZNAŃSKA 15,(61) 423-85-00,sekretariat@dziekanka.net
458,15,Wielkopolski  OW NFZ,ORTOPEDYCZNO-REHABILITACYJNY SZPITAL KLINICZNY IM. WIKTORA DEGI UNIWERSYTETU MEDYCZNEGO IM.KAROLA MARCINKOWSKIEGO,POZNAŃ-WILDA,28 CZERWCA1956 R 135/147,(061)83-10-331,orsk@orsk.ump.edu.pl                                            
459,15,Wielkopolski  OW NFZ,SZPITAL KLINICZNY PRZEMIENIENIA PAŃSKIEGO UNIWERSYTETU MEDYCZNEGO IM. KAROLA MARCINKOWSKIEGO W POZNANIU,POZNAŃ-STARE MIASTO,DŁUGA 1/2,(061)854-91-21,szpital@skpp.edu.pl
460,15,Wielkopolski  OW NFZ,SZPITAL MIEJSKI IM. FRANCISZKA RASZEI,POZNAŃ-JEŻYCE,MICKIEWICZA 2,061 848-10-11,sekretariat@raszeja.poznan.pl                                   
461,15,Wielkopolski  OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W GOSTYNIU,GOSTYŃ,PL.K. MARCINKOWSKIEGO 8/9,(0-65) 322-68-00,sekretariat@szpitalgostyn.pl
462,15,Wielkopolski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W MIĘDZYCHODZIE,MIĘDZYCHÓD,SZPITALNA 10,95 748 20 11,spzozmiedzychod@spzoz-miedzychod.com.pl                         
463,15,Wielkopolski  OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W KOŚCIANIE,KOŚCIAN,SZPITALNA 7,655120855,sekretariat@szpital.koscian.pl
464,15,Wielkopolski  OW NFZ,CENTRUM MEDYCZNE HCP SP. Z O.O. NZOZ CENTRUM MEDYCZNE HCP LECZNICTWO STACJONARNE,POZNAŃ,28 CZERWCA 1956 NR 194,61 2274 104,k.rykala@cm.hcp.com.pl
465,15,Wielkopolski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W KOLE,KOŁO,KS. JÓZEFA PONIATOWSKIEGO 25,(63) 2626140,sekretariat@spzozkolo.pl                                        
466,15,Wielkopolski  OW NFZ,SZPITAL KLINICZNY  IM. HELIODORA ŚWIĘCICKIEGO UNIWERSYTETU MEDYCZNEGO IM. KAROLA MARCINKOWSKIEGO W POZNANIU,POZNAŃ-GRUNWALD,PRZYBYSZEWSKIEGO 49,(061)86-91-100,szpital@spsk2.pl
467,15,Wielkopolski  OW NFZ,ZESPÓŁ OPIEKI ZDROWOTNEJ W WĄGROWCU,WĄGROWIEC,KOŚCIUSZKI 74,(67) 2681500,szpital@wagrowiec.pl                                            
468,15,Wielkopolski  OW NFZ,SZPITAL ŚREDZKI SERCA JEZUSOWEGO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ŚRODA WIELKOPOLSKA,ŻWIRKI I WIGURY 10,(061)28-54-031,kontakt@szpitalsredzki.pl                                       
469,15,Wielkopolski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W WOLSZTYNIE,WOLSZTYN,WSCHOWSKA 3,(068)34-77-300,sekretariat@spzozwolsztyn.pl                                    
470,15,Wielkopolski  OW NFZ,SZPITAL POWIATOWY IM PROF ROMANA DREWSA,CHODZIEŻ,ŻEROMSKIEGO 29,67 282 05 70,szpitalpowiatowy@chodziez.pl
471,15,Wielkopolski  OW NFZ,WOJEWÓDZKI SZPITAL ZESPOLONY W LESZNIE,LESZNO,KIEPURY 45,65 52 53 100,wsz@wsz.leszno.pl                                               
472,15,Wielkopolski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W KĘPNIE,KĘPNO,SZPITALNA 7,062/ 78 27 300,szpital@szpital.kepno.pl                                        
473,15,Wielkopolski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ MINISTERSTWA SPRAW WEWNĘTRZNYCH I ADMINISTRACJI W POZNANIU IM. PROF.LUDWIKA BIERKOWSKIEGO,POZNAŃ-JEŻYCE,DOJAZD 34,061 8464500,sekretariat@szpitalmswia.poznan.pl                              
474,15,Wielkopolski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W KROTOSZYNIE,KROTOSZYN,MŁYŃSKA 2,(062)58-80-390,spzoz@krotoszyn.pl
475,15,Wielkopolski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ,SZAMOTUŁY,SUKIENNICZA 13,(061) 29-27-101,szpital@spzoz-grodzisk.pl
476,15,Wielkopolski  OW NFZ,SZPITAL W PUSZCZYKOWIE IM. PROF. S.T. DĄBROWSKIEGO SPÓŁKA AKCYJNA,PUSZCZYKOWO,KRASZEWSKIEGO 11,507018440,zarzad@szpitalwpuszczykowie.com.pl
477,15,Wielkopolski  OW NFZ,WOJEWÓDZKI SZPITAL ZESPOLONY IM. LUDWIKA PERZYNY W KALISZU,KALISZ,POZNAŃSKA 79,(062) 765-13-56,sekretariat@szpital.kalisz.pl                                   
478,15,Wielkopolski  OW NFZ,"""SZPITAL POWIATOWY WE WRZEŚNI"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",WRZEŚNIA,SŁOWACKIEGO 2,(61)4370603,dim@szpitalwrzesnia.home.pl                                     
479,15,Wielkopolski  OW NFZ,"""PLESZEWSKIE CENTRUM MEDYCZNE W PLESZEWIE"" SP. Z O.O.",PLESZEW,POZNAŃSKA 125A,062-74-20-900,zozpleszew@send.pl                                              
480,15,Wielkopolski  OW NFZ,SZPITAL POWIATOWY W RAWICZU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RAWICZ,GEN. GROTA ROWECKIEGO 6,065-546-24-13,sekretariat@szpitalrawicz.pl
481,15,Wielkopolski  OW NFZ,SZPITAL POWIATOWY W WYRZYSKU SPÓŁKA Z O.O.,WYRZYSK,22 STYCZNIA 41,067 286-26-22,szpitalwyrzysk@wp.pl                                            
482,15,Wielkopolski  OW NFZ,SZPITAL POWIATOWY W JAROCINIE,JAROCIN,SZPITALNA 1,623322183,sekretariat@szpitaljarocin.pl                                   
483,15,Wielkopolski  OW NFZ,SZPITAL POWIATOWY IM. TADEUSZA MALIŃSKIEGO W ŚREMIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ŚREM,CHEŁMOŃSKIEGO 1,61 2815443,sekretariat@szpital-srem.pl                                     
484,16,Zachodniopomorski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W CHOSZCZNIE,CHOSZCZNO,M. NIEDZIAŁKOWSKIEGO 4A,95 765-72-11,sekretariat@spzozchoszczno.pl
485,16,Zachodniopomorski  OW NFZ,SAMODZIELNY PUBLICZNY WIELOSPECJALISTYCZNY ZAKŁAD OPIEKI ZDROWOTNEJ W STARGARDZIE,STARGARD,WOJSKA POLSKIEGO 27,091 578-92-03,biuro@zozstargard.pl
486,16,Zachodniopomorski  OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ W GRYFICACH,GRYFICE,NIECHORSKA 27,(91) 3842061,szpital@medicam.pl
487,16,Zachodniopomorski  OW NFZ,SZPITAL W DĘBNIE IM. ŚWIĘTEJ MATKI TERESY Z KALKUTY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,DĘBNO,KOŚCIUSZKI 58,0 95 760 27 33 95 760 21 77 95 760 21 68,sekretariat@szpital-debno.pl
488,16,Zachodniopomorski  OW NFZ,SZPITALNE CENTRUM MEDYCZNE W GOLENIOWIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,GOLENIÓW,NOWOGARDZKA 2,091-466-43-01,sekretariat@szpitalgoleniow.pl
489,16,Zachodniopomorski  OW NFZ,SZPITAL BARLINEK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,BARLINEK,SZPITALNA 10,095/7462502,sekretariat@szpitalbarlinek.pl
490,16,Zachodniopomorski  OW NFZ,REGIONALNY SZPITAL W KOŁOBRZEGU,KOŁOBRZEG,ŁOPUSKIEGO 31-33,0943530201,kancelaria@szpital.kolobrzeg.pl
491,16,Zachodniopomorski  OW NFZ,SZPITAL MIEJSKI IM. JANA GARDUŁY W ŚWINOUJŚCIU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ŚWINOUJŚCIE,MIESZKA I 7,091 3267-345,sekretariat@szpital-swinoujscie.pl
492,16,Zachodniopomorski  OW NFZ,SAMODZIELNY PUBLICZNY WOJEWÓDZKI SZPITAL ZESPOLONY W SZCZECINIE,SZCZECIN,ARKOŃSKA 4,91 813 90 45,spwsz@spwsz.szczecin.pl
493,16,Zachodniopomorski  OW NFZ,SAMODZIELNY PUBLICZNY SZPITAL KLINICZNY NR 2 PUM W SZCZECINIE,SZCZECIN,POWSTAŃCÓW WIELKOPOLSKICH 72,914661010,spsk2@spsk2-szczecin.pl
494,16,Zachodniopomorski  OW NFZ,107 SZPITAL WOJSKOWY Z PRZYCHODNIĄ SAMODZIELNY PUBLICZNY  ZAKŁAD OPIEKI ZDROWOTNEJ  W WAŁCZU,WAŁCZ,KOŁOBRZESKA 44,261 47 28 09,sekretariat@107sw.mil.pl
495,16,Zachodniopomorski  OW NFZ,109 SZPITAL WOJSKOWY Z PRZYCHODNIĄ SAMODZIELNY PUBLICZNY  ZAKŁAD OPIEKI ZDROWOTNEJ,SZCZECIN,KS.PIOTRA SKARGI 9-11,"091 810 58 00, ... 10",sekretariat@109szpital.pl
496,16,Zachodniopomorski  OW NFZ,SZPITAL WOJEWÓDZKI IM. MIKOŁAJA KOPERNIKA W KOSZALINIE,KOSZALIN,CHAŁUBIŃSKIEGO 7,94/34-88-400,szpital@swk.med.pl
497,16,Zachodniopomorski  OW NFZ,SAMODZIELNY PUBLICZNY SZPITAL KLINICZNY NR 1 IM. PROF.TADEUSZA SOKOŁOWSKIEGO POMORSKIEGO UNIWERSYTETU MEDYCZNEGO W SZCZECINIE,SZCZECIN,UNII LUBELSKIEJ 1,91 4253002,sekretariat@spsk1.szn.pl
498,16,Zachodniopomorski  OW NFZ,REGIONALNE CENTRUM MEDYCZNE W BIAŁOGARDZIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,BIAŁOGARD,CHOPINA 29,533355855,sekretariat@rcm24.pl
499,16,Zachodniopomorski  OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ MINISTERSTWA SPRAW WEWNĘTRZNYCH I ADMINISTRACJI  W SZCZECINIE,SZCZECIN,JAGIELLOŃSKA 44,091 432 95 00,sekretariat@spzozmswia.szczecin.pl
500,16,Zachodniopomorski  OW NFZ,SAMODZIELNY PUBLICZNY  ZAKŁAD OPIEKI ZDROWOTNEJ MINISTERSTWA SPRAW WEWNĘTRZNYCH I ADMINISTRACJI W KOSZALINIE,KOSZALIN,SZPITALNA 2,094 347 16 70,sekretariat@poliklinika.koszalin.pl
501,16,Zachodniopomorski  OW NFZ,SAMODZIELNY PUBLICZNY SZPITAL REJONOWY W NOWOGARDZIE,NOWOGARD,WOJSKA POLSKIEGO 7,09139-21356,spsr_nowogard@wp.pl
502,16,Zachodniopomorski  OW NFZ,SZPITAL POWIATOWY W SŁAWNIE,SŁAWNO,I-GO PUŁKU UŁANÓW 9,59 810 63 21,szpital@szpital-slawno.pl
503,16,Zachodniopomorski  OW NFZ,SZPITAL POWIATOWY W PYRZYCACH,PYRZYCE,JANA PAWŁA II 2,915793095,sekretariat@szpital.pyrzyce.net.pl
504,16,Zachodniopomorski  OW NFZ,EMC INSTYTUT MEDYCZNY SPÓŁKA AKCYJNA,KAMIEŃ ,SZPITALNA 10,"91 326 26 90, 91 326 26 91,91 326 26 92",kamien-pomorski@emc-sa.pl
505,16,Zachodniopomorski  OW NFZ,"""SZPITAL POWIATOWY W GRYFINIE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",GRYFINO,PARKOWA 5,91 416 21 09,sekretariat@szpital-gryfino.pl
506,16,Zachodniopomorski  OW NFZ,SZPITAL W SZCZECINKU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,SZCZECINEK,KOŚCIUSZKI 38,943726700,sekretariat@szpital.szczecinek.pl
507,16,Zachodniopomorski  OW NFZ,"""SZPITALE POLSKIE"" SPÓŁKA AKCYJNA",DRAWSKO POMORSKIE,BOLESŁAWA CHROBREGO 4,94 36 30 341,sekretariat-drawsko@szpitale-polskie.pl
508,16,Zachodniopomorski  OW NFZ,PRZYJAZNY SZPITAL W POŁCZYNIE ZDROJU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,POŁCZYN-ZDRÓJ,SZPITALNA 5,943662524,sekretariat@szpitalpolczyn.pl
509,16,Zachodniopomorski  OW NFZ,"SAMODZIELNY PUBLICZNY SPECJALISTYCZNY ZAKŁAD OPIEKI ZDROWOTNEJ ""ZDROJE""",SZCZECIN,MĄCZNA 4,091/8806250,biuro_dyrektora@zoz-zdroje.pl
510,16,Zachodniopomorski  OW NFZ,AFFIDEA ONKOTERAPIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,KOSZALIN,CHAŁUBIŃSKIEGO 7,(22) 526-11-00/01,polska@affidea.com
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,amiecznikowska@uck.gda.pl,
,,,,,,jbielecka@spzoz-czluchow.pl ,
,,,,,,p.brozyna@szpital.slupsk.pl,
,,,,,,marketing@szpital.chojnice.pl,
,,,,,,wioletta_schabowska@tlen.pl,
,,,,,,mkulpan@copernicus.gda.pl,
,,,,,,sekretariat@szpital-lebork.home.pl,
